epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4404,1.0766,0.0059,0.1038,0.0000,1.3456,1.0773,1.2738
1,0.0452,1.0765,0.0180,0.0178,0.0000,1.3463,1.0130,1.3764
2,0.0148,1.0765,0.1339,0.0142,0.0000,1.3462,1.0102,1.3818
3,0.0065,1.0765,0.3579,0.0153,0.0000,1.3462,1.0109,1.3788
4,0.0036,1.0765,0.5807,0.0197,0.0000,1.3468,1.0140,1.3770
5,0.0020,1.0765,0.7803,0.0221,0.0000,1.3461,1.0157,1.3674
6,0.0017,1.0765,0.8288,0.0204,0.0000,1.3466,1.0145,1.3689
7,0.0011,1.0764,0.7784,0.0193,0.0000,1.3467,1.0137,1.3652
8,0.0008,1.0764,0.8369,0.0202,0.0000,1.3466,1.0144,1.3680
9,0.0007,1.0764,0.9394,0.0211,0.0000,1.3466,1.0150,1.3620
