epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.8041,1.0851,0.1303,0.4150,0.8117,0.9319,1.3358,0.2126
1,0.2074,1.0846,0.2362,0.0832,0.8799,0.9195,1.0620,1.3037
2,0.0511,1.0845,0.1045,0.0324,0.8818,0.9190,1.0237,1.3598
3,0.0232,1.0845,0.1135,0.0204,0.8809,0.9191,1.0148,1.3728
4,0.0132,1.0845,0.2632,0.0199,0.8802,0.9192,1.0143,1.3718
5,0.0083,1.0845,0.3231,0.0196,0.8800,0.9192,1.0141,1.3756
6,0.0055,1.0845,0.3846,0.0188,0.8804,0.9191,1.0135,1.3743
7,0.0039,1.0845,0.5422,0.0200,0.8800,0.9193,1.0143,1.3695
8,0.0029,1.0845,0.5688,0.0201,0.8804,0.9192,1.0144,1.3719
9,0.0021,1.0845,0.4750,0.0196,0.8805,0.9190,1.0140,1.3709
10,0.0017,1.0845,0.5104,0.0170,0.8798,0.9193,1.0121,1.3750
11,0.0013,1.0845,0.4295,0.0160,0.8797,0.9189,1.0114,1.3740
12,0.0011,1.0845,0.5243,0.0162,0.8808,0.9190,1.0115,1.3721
13,0.0009,1.0844,0.6951,0.0237,0.8818,0.9186,1.0169,1.3441
14,0.0008,1.0846,0.6245,0.0189,0.8812,0.9194,1.0135,1.3600
15,0.0007,1.0845,0.4976,0.0157,0.8801,0.9190,1.0112,1.3677
16,0.0005,1.0845,0.5709,0.0168,0.8804,0.9193,1.0120,1.3654
17,0.0006,1.0845,0.5141,0.0149,0.8797,0.9194,1.0106,1.3666
18,0.0005,1.0845,0.6315,0.0178,0.8788,0.9191,1.0126,1.3571
19,0.0004,1.0846,0.6211,0.0166,0.8797,0.9198,1.0118,1.3615
